n,p,rep,T_compute,T_reduce,T_total,best_seed,best_acc,flops_total,gflops
5000,1,1,28.4484,0.0127,28.4611,21,0.765,275251200000,9.67
5000,1,2,30.8016,0.009,30.8107,21,0.765,275251200000,8.93
5000,2,1,15.544,0.01,15.554,21,0.765,275251200000,17.7
5000,2,2,15.4572,0.0076,15.4648,21,0.765,275251200000,17.8
5000,4,1,8.274,0.0096,8.2836,21,0.765,275251200000,33.23
5000,4,2,8.4101,0.0122,8.4222,21,0.765,275251200000,32.68
5000,8,1,6.2221,0.0152,6.2373,21,0.765,275251200000,44.13
5000,8,2,7.113,0.0155,7.1284,21,0.765,275251200000,38.61
5000,16,1,5.4944,0.0349,5.5293,21,0.765,275251200000,49.78
5000,16,2,6.7012,0.0469,6.7481,21,0.765,275251200000,40.79
5000,32,1,6.448,0.0842,6.5322,21,0.765,275251200000,42.14
5000,32,2,5.7844,0.0875,5.8719,21,0.765,275251200000,46.88
10000,1,1,58.5427,0.0081,58.5508,4,0.798,550502400000,9.4
10000,1,2,59.0053,0.0104,59.0157,4,0.798,550502400000,9.33
10000,2,1,30.8442,0.0091,30.8533,4,0.798,550502400000,17.84
10000,2,2,31.444,0.0081,31.4521,4,0.798,550502400000,17.5
10000,4,1,16.3616,0.01,16.3715,4,0.798,550502400000,33.63
10000,4,2,17.185,0.0104,17.1954,4,0.798,550502400000,32.01
10000,8,1,11.8677,0.0165,11.8842,4,0.798,550502400000,46.32
10000,8,2,11.6998,0.0161,11.716,4,0.798,550502400000,46.99
10000,16,1,11.2284,0.0333,11.2617,4,0.798,550502400000,48.88
10000,16,2,11.2745,0.0409,11.3154,4,0.798,550502400000,48.65
10000,32,1,11.3288,0.0964,11.4252,4,0.798,550502400000,48.18
10000,32,2,11.7144,0.0686,11.783,4,0.798,550502400000,46.72
20000,1,1,114.5367,0.0089,114.5457,18,0.856,1101004800000,9.61
20000,1,2,113.3807,0.0082,113.3889,18,0.856,1101004800000,9.71
20000,2,1,59.4522,0.0088,59.4609,18,0.856,1101004800000,18.52
20000,2,2,60.5915,0.0089,60.6004,18,0.856,1101004800000,18.17
20000,4,1,31.5845,0.0121,31.5966,18,0.856,1101004800000,34.85
20000,4,2,31.5827,0.0115,31.5942,18,0.856,1101004800000,34.85
20000,8,1,20.6019,0.0172,20.6191,18,0.856,1101004800000,53.4
20000,8,2,20.9916,0.017,21.0086,18,0.856,1101004800000,52.41
20000,16,1,20.5656,0.0376,20.6031,18,0.856,1101004800000,53.44
20000,16,2,20.7731,0.0342,20.8073,18,0.856,1101004800000,52.91
20000,32,1,21.2624,0.0826,21.345,18,0.856,1101004800000,51.58
20000,32,2,21.1438,0.0582,21.202,18,0.856,1101004800000,51.93
40000,1,1,225.4949,0.007,225.5019,26,0.8681,2202009600000,9.76
40000,1,2,224.389,0.0082,224.3972,26,0.8681,2202009600000,9.81
40000,2,1,117.334,0.0091,117.3432,26,0.8681,2202009600000,18.77
40000,2,2,118.0784,0.009,118.0874,26,0.8681,2202009600000,18.65
40000,4,1,63.9602,0.0113,63.9716,26,0.8681,2202009600000,34.42
40000,4,2,64.1895,0.0113,64.2008,26,0.8681,2202009600000,34.3
40000,8,1,43.6778,0.0183,43.6961,26,0.8681,2202009600000,50.39
40000,8,2,44.1708,0.0206,44.1915,26,0.8681,2202009600000,49.83
40000,16,1,41.8141,0.0382,41.8523,26,0.8681,2202009600000,52.61
40000,16,2,41.8507,0.0369,41.8875,26,0.8681,2202009600000,52.57
40000,32,1,42.4166,0.0702,42.4868,26,0.8681,2202009600000,51.83
40000,32,2,42.4173,0.0869,42.5043,26,0.8681,2202009600000,51.81
