n,p,rep,T_compute,T_reduce,T_total,best_seed,best_acc,flops_total,gflops
5000,1,1,38.4748,0.0108,38.4856,21,0.765,275251200000,7.15
5000,1,2,37.7269,0.0133,37.7402,21,0.765,275251200000,7.29
5000,2,1,19.2427,0.0203,19.2631,21,0.765,275251200000,14.29
5000,2,2,19.3125,0.0178,19.3303,21,0.765,275251200000,14.24
5000,4,1,15.8718,0.0293,15.9011,21,0.765,275251200000,17.31
5000,4,2,15.4816,0.0322,15.5138,21,0.765,275251200000,17.74
5000,8,1,6.4345,0.0464,6.4809,21,0.765,275251200000,42.47
5000,8,2,8.2295,0.0371,8.2666,21,0.765,275251200000,33.3
5000,16,1,4.0946,0.0622,4.1568,21,0.765,275251200000,66.22
5000,16,2,4.0864,0.0686,4.1551,21,0.765,275251200000,66.24
5000,32,1,3.5944,0.1156,3.71,21,0.765,275251200000,74.19
5000,32,2,3.5789,0.1496,3.7285,21,0.765,275251200000,73.82
10000,1,1,76.8225,0.0193,76.8419,4,0.798,550502400000,7.16
10000,1,2,76.8424,0.0146,76.8569,4,0.798,550502400000,7.16
10000,2,1,38.3704,0.0204,38.3909,4,0.798,550502400000,14.34
10000,2,2,38.2905,0.0187,38.3092,4,0.798,550502400000,14.37
10000,4,1,31.7494,0.0271,31.7765,4,0.798,550502400000,17.32
10000,4,2,31.3817,0.0327,31.4145,4,0.798,550502400000,17.52
10000,8,1,15.3931,0.0405,15.4336,4,0.798,550502400000,35.67
10000,8,2,15.2987,0.0436,15.3423,4,0.798,550502400000,35.88
10000,16,1,8.1916,0.0594,8.251,4,0.798,550502400000,66.72
10000,16,2,8.2292,0.064,8.2932,4,0.798,550502400000,66.38
10000,32,1,7.197,0.1101,7.3071,4,0.798,550502400000,75.34
10000,32,2,7.1159,0.1307,7.2466,4,0.798,550502400000,75.97
20000,1,1,148.2473,0.0115,148.2588,18,0.856,1101004800000,7.43
20000,1,2,156.2304,0.0126,156.243,18,0.856,1101004800000,7.05
20000,2,1,76.5471,0.0188,76.5659,18,0.856,1101004800000,14.38
20000,2,2,76.7856,0.0176,76.8032,18,0.856,1101004800000,14.34
20000,4,1,42.7099,0.0264,42.7363,18,0.856,1101004800000,25.76
20000,4,2,41.8497,0.0242,41.8739,18,0.856,1101004800000,26.29
20000,8,1,26.5002,0.0478,26.548,18,0.856,1101004800000,41.47
20000,8,2,27.429,0.0355,27.4645,18,0.856,1101004800000,40.09
20000,16,1,16.3769,0.061,16.4379,18,0.856,1101004800000,66.98
20000,16,2,16.3967,0.0632,16.4599,18,0.856,1101004800000,66.89
20000,32,1,14.2733,0.134,14.4073,18,0.856,1101004800000,76.42
20000,32,2,14.2958,0.1256,14.4214,18,0.856,1101004800000,76.35
40000,1,1,307.1974,0.0126,307.21,26,0.8681,2202009600000,7.17
40000,1,2,303.2998,0.0118,303.3116,26,0.8681,2202009600000,7.26
40000,2,1,153.3093,0.018,153.3274,26,0.8681,2202009600000,14.36
40000,2,2,153.937,0.0181,153.9551,26,0.8681,2202009600000,14.3
40000,4,1,113.8471,0.0255,113.8727,26,0.8681,2202009600000,19.34
40000,4,2,103.8599,0.0259,103.8858,26,0.8681,2202009600000,21.2
40000,8,1,53.0583,0.0377,53.096,26,0.8681,2202009600000,41.47
40000,8,2,53.3395,0.0357,53.3752,26,0.8681,2202009600000,41.26
40000,16,1,32.9052,0.0658,32.9709,26,0.8681,2202009600000,66.79
40000,16,2,32.8962,0.0726,32.9687,26,0.8681,2202009600000,66.79
40000,32,1,28.718,0.1166,28.8346,26,0.8681,2202009600000,76.37
40000,32,2,28.7687,0.1231,28.8918,26,0.8681,2202009600000,76.22
