n,p,T_compute,T_compute_std,T_reduce,T_reduce_std,T_total,T_total_std,gflops,gflops_std,best_seed,best_acc,flops_total
5000,1,38.10085,0.5288451616494199,0.01205,0.001767766952966368,38.112899999999996,0.5270773946964475,7.220000000000001,0.09899494936611612,21,0.765,275251200000
5000,2,19.2776,0.04935605332682155,0.019049999999999997,0.0017677669529663667,19.2967,0.04751757569573579,14.265,0.03535533905932725,21,0.765,275251200000
5000,4,15.6767,0.2759130660189909,0.03075,0.0020506096654409876,15.70745,0.27386245635354967,17.525,0.30405591591021525,21,0.765,275251200000
5000,8,7.332,1.2692566722298528,0.041749999999999995,0.006576093065034886,7.37375,1.2626805791648181,37.885,6.484169183480642,21,0.765,275251200000
5000,16,4.0905000000000005,0.005798275605729679,0.0654,0.004525483399593899,4.15595,0.0012020815280168414,66.22999999999999,0.014142135623733162,21,0.765,275251200000
5000,32,3.5866499999999997,0.010960155108391222,0.1326,0.02404163056034263,3.7192499999999997,0.013081475451951258,74.005,0.26162950903902576,21,0.765,275251200000
10000,1,76.83245,0.014071424945612159,0.01695,0.0033234018715767736,76.8494,0.01060660171779359,7.16,0.0,4,0.798,550502400000
10000,2,38.33045,0.05649783181680159,0.01955,0.001202081528017131,38.350049999999996,0.057770624022941953,14.355,0.021213203435595344,4,0.798,550502400000
10000,4,31.56555,0.26000316344229674,0.0299,0.003959797974644667,31.5955,0.2559726547895303,17.42,0.14142135623730775,4,0.798,550502400000
10000,8,15.3459,0.06675088014401027,0.042050000000000004,0.002192031021678294,15.38795,0.06455884912233206,35.775000000000006,0.14849242404917307,4,0.798,550502400000
10000,16,8.2104,0.026587214972615028,0.061700000000000005,0.003252691193458116,8.2721,0.029839906166073103,66.55,0.24041630560342858,4,0.798,550502400000
10000,32,7.1564499999999995,0.057346359954228814,0.12040000000000001,0.014566399692442885,7.27685,0.04277996026178597,75.655,0.4454772721475217,4,0.798,550502400000
20000,1,152.23885,5.644904144890322,0.01205,0.0007778174593052025,152.2509,5.645681962349624,7.24,0.2687005768508883,18,0.856,1101004800000
20000,2,76.66635,0.16864496731299797,0.0182,0.0008485281374238568,76.68455,0.16779643917557108,14.36,0.028284271247461926,18,0.856,1101004800000
20000,4,42.279799999999994,0.6082532531766649,0.0253,0.001555634918610405,42.305099999999996,0.6098088880952768,26.025,0.37476659402886975,18,0.856,1101004800000
20000,8,26.964599999999997,0.6567607783660658,0.04165,0.008697413408594538,27.00625,0.6480633649574715,40.78,0.9758073580374323,18,0.856,1101004800000
20000,16,16.3868,0.014000714267492413,0.0621,0.00155563491861041,16.448900000000002,0.015556349186104216,66.935,0.06363961030679169,18,0.856,1101004800000
20000,32,14.28455,0.015909902576697294,0.1298,0.0059396969619670125,14.414349999999999,0.009970205614731577,76.38499999999999,0.049497474683058526,18,0.856,1101004800000
40000,1,305.2486,2.7560193903526957,0.012199999999999999,0.0005656854249492376,305.2608,2.7565850757776436,7.215,0.06363961030678918,26,0.8681,2202009600000
40000,2,153.62315,0.443850926550799,0.01805,7.071067811865677e-05,153.64125,0.4438509265507688,14.33,0.042426406871191945,26,0.8681,2202009600000
40000,4,108.8535,7.062016845066289,0.0257,0.00028284271247461853,108.87925,7.0618047130319255,20.27,1.315218613006978,26,0.8681,2202009600000
40000,8,53.1989,0.198838426869656,0.036699999999999997,0.001414213562373089,53.2356,0.1974242133072862,41.364999999999995,0.14849242404917307,26,0.8681,2202009600000
40000,16,32.9007,0.006363961030679169,0.0692,0.004808326112068524,32.9698,0.0015556349186118033,66.79,0.0,26,0.8681,2202009600000
40000,32,28.74335,0.03585031380615731,0.11985,0.0045961940777125634,28.8632,0.04044650788387172,76.295,0.10606601717798615,26,0.8681,2202009600000
